index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity
2852,2018,alabama,pecans,dry goods,nuts and seeds,8000.0,8000.0,2366000.0,800.0,0.5
2853,2018,alabama,peanuts,dry goods,nuts and seeds,165000.0,161000.0,114566000.0,285775.0,0.5
2854,2018,arizona,pecans,dry goods,nuts and seeds,17000.0,17000.0,52173000.0,13950.0,0.5
2855,2018,arkansas,peanuts,dry goods,nuts and seeds,26000.0,23000.0,21850000.0,56350.0,0.5
2856,2018,california,almonds,dry goods,nuts and seeds,1090000.0,1090000.0,5602500000.0,1140000.0,0.5
2857,2018,california,pistachios,dry goods,nuts and seeds,264000.0,264000.0,2615550000.0,493500.0,0.5
2858,2018,california,walnuts,dry goods,nuts and seeds,350000.0,350000.0,916650000.0,679000.0,0.5
2859,2018,california,pecans,dry goods,nuts and seeds,3500.0,3500.0,7400000.0,1850.0,0.5
2860,2018,florida,peanuts,dry goods,nuts and seeds,155000.0,143000.0,104328000.0,282425.0,0.5
2861,2018,georgia,pecans,dry goods,nuts and seeds,120000.0,120000.0,113400000.0,35000.0,0.5
2862,2018,georgia,peanuts,dry goods,nuts and seeds,665000.0,655000.0,592963000.0,1437725.0,0.5
2863,2018,hawaii,macadamias,dry goods,nuts and seeds,16900.0,16900.0,42007000.0,17650.0,0.5
2864,2018,louisiana,pecans,dry goods,nuts and seeds,13400.0,13400.0,5954000.0,3015.0,0.5
2865,2018,mississippi,peanuts,dry goods,nuts and seeds,25000.0,24000.0,19392000.0,46800.0,0.5
2866,2018,new mexico,pecans,dry goods,nuts and seeds,45000.0,45000.0,169290000.0,44550.0,0.5
2867,2018,new mexico,peanuts,dry goods,nuts and seeds,5500.0,5500.0,4818000.0,7837.5,0.5
2868,2018,north carolina,peanuts,dry goods,nuts and seeds,102000.0,98000.0,87906000.0,189630.0,0.5
2869,2018,oklahoma,pecans,dry goods,nuts and seeds,90000.0,90000.0,14884000.0,4500.0,0.5
2870,2018,oklahoma,peanuts,dry goods,nuts and seeds,16000.0,15000.0,10881000.0,23025.0,0.5
2871,2018,oregon,hazelnuts,dry goods,nuts and seeds,44000.0,44000.0,91800000.0,52000.0,0.5
2872,2018,south carolina,peanuts,dry goods,nuts and seeds,87000.0,80000.0,59384000.0,136000.0,0.5
2873,2018,texas,pecans,dry goods,nuts and seeds,112000.0,112000.0,56064000.0,16800.0,0.5
2874,2018,texas,peanuts,dry goods,nuts and seeds,155000.0,145000.0,131588000.0,232000.0,0.5
2875,2018,virginia,peanuts,dry goods,nuts and seeds,24000.0,24000.0,22277000.0,50400.0,0.5
2876,2018,california,olives,dry goods,"pickles, olives, and pickled vegetables",37500.0,37500.0,40523000.0,53600.0,0.5
2877,2018,california,apples,produce,apples,12400.0,12400.0,66047000.0,124000.0,0.5
2878,2018,michigan,apples,produce,apples,32000.0,32000.0,285104000.0,517500.0,0.5
2879,2018,new york,apples,produce,apples,42000.0,42000.0,262345000.0,697500.0,0.5
2880,2018,oregon,apples,produce,apples,5000.0,5000.0,55180000.0,85000.0,0.5
2881,2018,pennsylvania,apples,produce,apples,19500.0,19500.0,107637000.0,244000.0,0.5
2882,2018,virginia,apples,produce,apples,9700.0,9700.0,37256000.0,102000.0,0.5
2883,2018,washington,apples,produce,apples,170000.0,170000.0,2140650000.0,3350000.0,0.5
2884,2018,california,apricots,produce,apricots,9600.0,9600.0,38055000.0,31700.0,0.5
2885,2018,washington,apricots,produce,apricots,1000.0,1000.0,9414000.0,7850.0,0.5
2886,2018,california,artichokes,produce,artichokes,6900.0,6900.0,63032000.0,50025.0,0.5
2887,2018,california,asparagus,produce,asparagus,6200.0,6000.0,26552000.0,9000.0,0.5
2888,2018,michigan,asparagus,produce,asparagus,10000.0,9500.0,23275000.0,13300.0,0.5
2889,2018,new jersey,asparagus,produce,asparagus,2200.0,2100.0,11562000.0,3465.0,0.5
2890,2018,washington,asparagus,produce,asparagus,4500.0,4100.0,26195000.0,13325.0,0.5
2891,2018,california,avocados,produce,avocados,47000.0,47000.0,388170000.0,171000.0,0.5
2892,2018,florida,avocados,produce,avocados,5800.0,5800.0,15568000.0,13900.0,0.5
2893,2018,hawaii,avocados,produce,avocados,840.0,840.0,1774800.0,870.0,0.5
2894,2018,california,peppers,produce,bell peppers,13600.0,13500.0,210007000.0,303750.0,0.5
2895,2018,florida,peppers,produce,bell peppers,12400.0,11900.0,180642000.0,178500.0,0.5
2896,2018,georgia,peppers,produce,bell peppers,3400.0,3200.0,40110000.0,42400.0,0.5
2897,2018,michigan,peppers,produce,bell peppers,2100.0,2000.0,18220000.0,24000.0,0.5
2898,2018,new jersey,peppers,produce,bell peppers,3500.0,3400.0,39726000.0,46750.0,0.5
2899,2018,new york,peppers,produce,bell peppers,1600.0,1400.0,8455000.0,7700.0,0.5
2900,2018,north carolina,peppers,produce,bell peppers,2300.0,2000.0,15685000.0,20000.0,0.5
2901,2018,ohio,peppers,produce,bell peppers,1500.0,1400.0,12040000.0,14000.0,0.5
2902,2018,pennsylvania,peppers,produce,bell peppers,1200.0,900.0,8422000.0,7650.0,0.5
2903,2018,california,blueberries,produce,blueberries,6600.0,6600.0,139755000.0,32450.0,0.5
2904,2018,florida,blueberries,produce,blueberries,5200.0,5200.0,60404000.0,10250.0,0.5
2905,2018,georgia,blueberries,produce,blueberries,13300.0,13300.0,87258000.0,27250.0,0.5
2906,2018,maine,blueberries,produce,blueberries,18800.0,18800.0,23815000.0,25200.0,0.5
2907,2018,michigan,blueberries,produce,blueberries,19700.0,19700.0,70226000.0,35050.0,0.5
2908,2018,new jersey,blueberries,produce,blueberries,9000.0,9000.0,62441000.0,22250.0,0.5
2909,2018,north carolina,blueberries,produce,blueberries,7500.0,7500.0,57304000.0,16900.0,0.5
2910,2018,oregon,blueberries,produce,blueberries,13500.0,13500.0,180730000.0,68750.0,0.5
2911,2018,washington,blueberries,produce,blueberries,14400.0,14400.0,139177000.0,68250.0,0.5
2912,2018,arizona,broccoli,produce,broccoli,10900.0,10900.0,59122000.0,65400.0,0.5
2913,2018,california,broccoli,produce,broccoli,104000.0,103000.0,679405000.0,798250.0,0.5
2914,2018,arizona,cabbage,produce,cabbage,3300.0,3300.0,33495000.0,82500.0,0.5
2915,2018,california,cabbage,produce,cabbage,14700.0,14200.0,181533000.0,241400.0,0.5
2916,2018,florida,cabbage,produce,cabbage,9300.0,8900.0,62806000.0,160200.0,0.5
2917,2018,georgia,cabbage,produce,cabbage,4300.0,2900.0,14845000.0,58000.0,0.5
2918,2018,michigan,cabbage,produce,cabbage,3800.0,3700.0,14327000.0,64750.0,0.5
2919,2018,new york,cabbage,produce,cabbage,11000.0,10100.0,52862000.0,196950.0,0.5
2920,2018,north carolina,cabbage,produce,cabbage,3000.0,2800.0,10120000.0,32200.0,0.5
2921,2018,texas,cabbage,produce,cabbage,5500.0,5000.0,27405000.0,67500.0,0.5
2922,2018,wisconsin,cabbage,produce,cabbage,3400.0,3300.0,10698000.0,66825.0,0.5
2923,2018,arizona,cantaloupe,produce,cantaloupe,16400.0,16300.0,86977000.0,187450.0,0.5
2924,2018,california,cantaloupe,produce,cantaloupe,32000.0,31500.0,187819000.0,417375.0,0.5
2925,2018,indiana,cantaloupe,produce,cantaloupe,1800.0,1700.0,8606000.0,19125.0,0.5
2926,2018,north carolina,cantaloupe,produce,cantaloupe,1300.0,1200.0,4544000.0,15300.0,0.5
2927,2018,pennsylvania,cantaloupe,produce,cantaloupe,1000.0,900.0,4148000.0,5400.0,0.5
2928,2018,texas,cantaloupe,produce,cantaloupe,2100.0,2000.0,5060000.0,11000.0,0.5
2929,2018,california,carrots,produce,carrots,64800.0,64300.0,687631000.0,1929000.0,0.5
2930,2018,michigan,carrots,produce,carrots,4200.0,4000.0,14456000.0,76000.0,0.5
2931,2018,texas,carrots,produce,carrots,1700.0,1600.0,3785000.0,20000.0,0.5
2932,2018,washington,carrots,produce,carrots,6000.0,5900.0,19982000.0,182900.0,0.5
2933,2018,wisconsin,carrots,produce,carrots,4100.0,4000.0,7092000.0,86000.0,0.5
2934,2018,arizona,cauliflower,produce,cauliflower,6100.0,6100.0,79739000.0,57950.0,0.5
2935,2018,california,cauliflower,produce,cauliflower,39000.0,38800.0,354752000.0,417100.0,0.5
2936,2018,california,celery,produce,celery,28400.0,28300.0,417347000.0,820700.0,0.5
2937,2018,michigan,celery,produce,celery,2000.0,1900.0,19471000.0,55100.0,0.5
2938,2018,california,cherries,produce,cherries,32000.0,32000.0,140395000.0,44800.0,0.5
2939,2018,michigan,cherries,produce,cherries,26500.0,26500.0,37936000.0,100500.0,0.5
2940,2018,oregon,cherries,produce,cherries,13000.0,13000.0,70835000.0,54600.0,0.5
2941,2018,utah,cherries,produce,cherries,3100.0,3100.0,9102000.0,22500.0,0.5
2942,2018,washington,cherries,produce,cherries,40000.0,40000.0,426470000.0,245000.0,0.5
2943,2018,wisconsin,cherries,produce,cherries,1500.0,1500.0,1928000.0,5450.0,0.5
2944,2018,arizona,chili peppers,produce,chili peppers,1100.0,1100.0,2660000.0,3300.0,0.5
2945,2018,california,chili peppers,produce,chili peppers,2700.0,2700.0,29468000.0,51975.0,0.5
2946,2018,new mexico,chili peppers,produce,chili peppers,8400.0,7900.0,53766000.0,71100.0,0.5
2947,2018,texas,chili peppers,produce,chili peppers,2700.0,2500.0,8873000.0,6875.0,0.5
2948,2018,massachusetts,cranberries,produce,cranberries,12700.0,12700.0,60916000.0,114500.0,0.5
2949,2018,new jersey,cranberries,produce,cranberries,3100.0,3100.0,14886000.0,25600.0,0.5
2950,2018,oregon,cranberries,produce,cranberries,2800.0,2800.0,15101000.0,28950.0,0.5
2951,2018,wisconsin,cranberries,produce,cranberries,20700.0,20700.0,154859000.0,277250.0,0.5
2952,2018,alabama,cucumbers,produce,cucumbers,6000.0,5900.0,15379000.0,30975.0,0.5
2953,2018,california,cucumbers,produce,cucumbers,8100.0,8100.0,33781000.0,83025.0,0.5
2954,2018,florida,cucumbers,produce,cucumbers,25000.0,24900.0,118524000.0,211650.0,0.5
2955,2018,georgia,cucumbers,produce,cucumbers,10200.0,9400.0,35212000.0,70500.0,0.5
2956,2018,michigan,cucumbers,produce,cucumbers,35000.0,34400.0,55418000.0,206400.0,0.5
2957,2018,new jersey,cucumbers,produce,cucumbers,2600.0,2600.0,7028000.0,12220.0,0.5
2958,2018,north carolina,cucumbers,produce,cucumbers,10600.0,9600.0,25582000.0,74400.0,0.5
2959,2018,ohio,cucumbers,produce,cucumbers,1900.0,1900.0,4983000.0,14725.0,0.5
2960,2018,texas,cucumbers,produce,cucumbers,5700.0,4900.0,8746000.0,23765.0,0.5
2961,2018,wisconsin,cucumbers,produce,cucumbers,5100.0,5100.0,12913000.0,30600.0,0.5
2962,2018,california,garlic,produce,garlic,29900.0,29900.0,412587000.0,261625.0,0.5
2963,2018,california,grapefruit,produce,grapefruit,9300.0,9300.0,69690000.0,160000.0,0.5
2964,2018,florida,grapefruit,produce,grapefruit,29800.0,29800.0,73200000.0,165000.0,0.5
2965,2018,texas,grapefruit,produce,grapefruit,15700.0,15700.0,65080000.0,192000.0,0.5
2966,2018,california,grapes,produce,grapes,863000.0,863000.0,6260348000.0,7130000.0,0.5
2967,2018,washington,grapes,produce,grapes,74000.0,74000.0,360910000.0,466000.0,0.5
2968,2018,california,green beans,produce,green beans,8000.0,7900.0,69008000.0,45425.0,0.5
2969,2018,delaware,green beans,produce,green beans,1900.0,1700.0,2385000.0,5100.0,0.5
2970,2018,florida,green beans,produce,green beans,29000.0,27600.0,58702000.0,69000.0,0.5
2971,2018,georgia,green beans,produce,green beans,12200.0,11900.0,28025000.0,27965.0,0.5
2972,2018,illinois,green beans,produce,green beans,9000.0,8800.0,9294000.0,40040.0,0.5
2973,2018,indiana,green beans,produce,green beans,2700.0,2600.0,3123000.0,9360.0,0.5
2974,2018,maryland,green beans,produce,green beans,3000.0,3000.0,3456000.0,9000.0,0.5
